Area,Locality,Colony,Lane,Area (sq.ft.),BHK,Bathrooms,Furnishing Status,Distance to School (km),Distance to Hospital (km),Distance to Metro (km),Age of Property (years),Price (Lakhs),Full Address,Latitude,Longitude
Katraj,Bharti Vidyapeeth Campus,Colony 7,Lane No. 5,555,1,1,Semi-Furnished,1.29,2.72,4.51,3,22.715,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Aundh,Baner Pashan Link,Colony 1,Lane No. 2,1024,3,3,Furnished,2.36,1.84,5.02,11,105.6,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Katraj,Bharti Vidyapeeth Campus,Colony 4,Lane No. 3,814,5,3,Furnished,3.89,3.47,1.76,5,244.145,"Bharti Vidyapeeth Campus, Katraj, Pune, Maharashtra, India",18.57326,73.775235
Viman Nagar,Lunkad Colony,Colony 6,Lane No. 2,1802,1,1,Semi-Furnished,2.63,2.17,4.15,2,63.305,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Wakad,Jambulkar Nagar,Colony 7,Lane No. 3,846,1,1,Unfurnished,1.57,2.96,1.42,3,60.114999999999995,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Baner,Balewadi Phata,Colony 1,Lane No. 5,2641,2,2,Furnished,1.52,2.7,5.63,8,171.215,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Baner,Balewadi Phata,Colony 2,Lane No. 5,1820,4,3,Semi-Furnished,4.85,2.8,1.09,18,279.34499999999997,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Hadapsar,Amanora Park Town,Colony 3,Lane No. 1,1613,5,3,Furnished,3.52,2.02,5.09,19,246.455,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Kondhwa,Salisbury Park,Colony 6,Lane No. 1,2027,4,3,Unfurnished,3.82,1.71,5.65,15,226.325,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Bibwewadi,Market Yard,Colony 6,Lane No. 4,1463,2,2,Unfurnished,4.86,0.83,5.19,3,207.13,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Bibwewadi,Market Yard,Colony 7,Lane No. 4,2248,5,3,Semi-Furnished,4.6,3.43,4.83,11,727.32,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Viman Nagar,Mhada Colony,Colony 5,Lane No. 1,1515,5,3,Furnished,3.08,3.89,2.63,12,495.22,"Mhada Colony, Viman Nagar, Pune, Maharashtra, India",18.567009,73.918554
Hinjewadi,Phase 1,Colony 2,Lane No. 4,646,5,3,Unfurnished,2.24,0.72,3.64,7,198.385,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Bibwewadi,Vishwakarma Nagar,Colony 3,Lane No. 2,1447,4,3,Furnished,3.55,2.72,5.02,9,280.39,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Kothrud,Ideal Colony,Colony 1,Lane No. 4,2464,5,3,Semi-Furnished,4.09,1.11,4.84,17,763.895,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Hinjewadi,Phase 3,Colony 1,Lane No. 5,725,2,2,Furnished,2.23,1.49,5.62,4,97.13,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Baner,Veerbhadra Nagar,Colony 3,Lane No. 3,2023,1,1,Unfurnished,4.33,2.54,2.91,9,102.85,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Baner,Balewadi Phata,Colony 4,Lane No. 4,1293,5,3,Unfurnished,1.39,2.95,2.55,12,291.5,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Hadapsar,Gadital,Colony 7,Lane No. 2,2663,1,1,Semi-Furnished,4.19,1.74,5.6,14,182.27,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Baner,Balewadi Phata,Colony 1,Lane No. 1,2628,1,1,Semi-Furnished,3.78,3.44,5.04,8,201.135,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Katraj,Vignaharta Colony,Colony 2,Lane No. 2,2133,5,3,Furnished,2.44,1.8,4.34,15,613.8,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Kothrud,Karve Nagar,Colony 4,Lane No. 1,1646,4,3,Furnished,1.51,0.75,5.32,3,282.48,"Karve Nagar, Kothrud, Pune, Maharashtra, India",18.5011478,73.814381
Hinjewadi,Phase 1,Colony 6,Lane No. 1,1085,2,2,Semi-Furnished,4.81,0.93,2.91,16,100.65,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Viman Nagar,Tingre Nagar,Colony 3,Lane No. 3,2444,4,3,Furnished,1.92,1.38,4.18,15,714.7249999999999,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Kothrud,Paud Road,Colony 7,Lane No. 1,563,5,3,Unfurnished,3.21,3.84,5.92,2,173.965,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Hadapsar,Magarpatta City,Colony 3,Lane No. 1,2314,4,3,Semi-Furnished,0.84,2.94,1.21,7,588.9399999999999,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Wakad,Datta Mandir Road,Colony 6,Lane No. 2,683,2,2,Unfurnished,0.87,3.84,2.26,18,99.88,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Bibwewadi,Market Yard,Colony 5,Lane No. 5,2749,1,1,Furnished,3.13,3.71,5.24,4,99.0,"Market Yard, Bibwewadi, Pune, Maharashtra, India",18.510584,73.766418
Kondhwa,Salisbury Park,Colony 2,Lane No. 3,2817,3,3,Unfurnished,3.03,3.29,1.52,17,603.13,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Parihar Chowk,Colony 1,Lane No. 3,2314,4,3,Semi-Furnished,1.17,2.16,4.76,4,578.27,"Parihar Chowk, Aundh, Pune, Maharashtra, India",18.5605828,73.809218
Aundh,Baner Pashan Link,Colony 6,Lane No. 3,904,5,3,Semi-Furnished,3.7,3.11,2.05,2,312.07,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Kothrud,Ideal Colony,Colony 5,Lane No. 3,1663,3,3,Furnished,1.97,0.64,3.47,8,344.19,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Katraj,Gokulnagar,Colony 6,Lane No. 5,913,3,3,Unfurnished,1.03,2.57,4.25,20,182.92999999999998,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Katraj,Vignaharta Colony,Colony 7,Lane No. 3,2295,2,2,Unfurnished,2.6,3.3,4.83,16,165.66,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Hadapsar,Gadital,Colony 4,Lane No. 3,2738,1,1,Furnished,4.89,2.71,4.39,6,179.02499999999998,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Hinjewadi,Phase 3,Colony 4,Lane No. 4,544,4,3,Furnished,1.25,2.47,1.33,10,144.87,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Kothrud,Paud Road,Colony 4,Lane No. 2,541,1,1,Furnished,1.87,1.69,2.82,20,27.994999999999997,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Hadapsar,Magarpatta City,Colony 5,Lane No. 1,1629,1,1,Semi-Furnished,1.15,3.07,1.44,4,123.86,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Wakad,Kalewadi Phata,Colony 7,Lane No. 2,1596,4,3,Furnished,3.58,2.47,2.71,11,332.2,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
Wakad,Kalewadi Phata,Colony 1,Lane No. 4,2812,4,3,Semi-Furnished,1.96,3.19,3.51,9,334.78499999999997,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
Kothrud,Paud Road,Colony 2,Lane No. 4,2787,5,3,Furnished,1.1,2.78,5.15,14,599.39,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Aundh,ITI Road,Colony 1,Lane No. 2,2368,4,3,Furnished,3.45,2.51,2.56,10,641.3,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Kondhwa,Yewalewadi,Colony 1,Lane No. 5,2463,2,2,Semi-Furnished,3.79,3.8,1.84,19,335.94,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Kondhwa,Yewalewadi,Colony 5,Lane No. 1,549,5,3,Unfurnished,4.16,2.79,5.6,20,147.4,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Baner Pashan Link,Colony 7,Lane No. 2,2381,2,2,Semi-Furnished,2.22,2.57,4.71,15,391.98499999999996,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Baner,Balewadi Phata,Colony 1,Lane No. 1,1238,4,3,Semi-Furnished,2.77,1.0,3.7,8,397.815,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Kondhwa,Yewalewadi,Colony 6,Lane No. 3,2085,1,1,Furnished,2.34,3.34,5.48,5,169.07,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,ITI Road,Colony 4,Lane No. 1,1022,5,3,Semi-Furnished,0.54,3.97,5.96,19,261.855,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Wakad,Jambulkar Nagar,Colony 4,Lane No. 2,1327,4,3,Semi-Furnished,4.68,0.65,3.56,0,186.01,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Baner,Pashan Link Road,Colony 4,Lane No. 4,2603,1,1,Unfurnished,2.26,1.32,3.53,16,155.20999999999998,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Baner,Veerbhadra Nagar,Colony 2,Lane No. 3,1955,2,2,Semi-Furnished,3.3,2.98,4.55,12,166.04500000000002,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Hinjewadi,Phase 1,Colony 6,Lane No. 5,1741,2,2,Semi-Furnished,4.44,1.63,1.87,16,245.95999999999998,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Kondhwa,Salisbury Park,Colony 4,Lane No. 5,689,3,3,Furnished,4.33,2.3,1.94,11,88.33,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Baner Pashan Link,Colony 5,Lane No. 3,1635,5,3,Semi-Furnished,4.46,2.19,4.21,19,504.35,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Wakad,Jambulkar Nagar,Colony 1,Lane No. 1,1919,2,2,Unfurnished,1.14,1.94,4.49,18,268.78499999999997,"Jambulkar Nagar, Wakad, Pune, Maharashtra, India",18.519479,73.870703
Hinjewadi,Phase 2,Colony 4,Lane No. 4,520,4,3,Unfurnished,1.61,2.25,1.08,8,95.53500000000001,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Hadapsar,Amanora Park Town,Colony 4,Lane No. 5,2230,2,2,Unfurnished,3.85,1.44,1.48,20,334.29,"Amanora Park Town, Hadapsar, Pune, Maharashtra, India",18.477032,73.927276
Kondhwa,Salisbury Park,Colony 4,Lane No. 5,787,5,3,Semi-Furnished,3.1,3.32,4.62,18,298.65,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Katraj,Vignaharta Colony,Colony 5,Lane No. 5,2793,1,1,Semi-Furnished,3.26,1.58,3.57,0,146.685,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Kondhwa,NIBM Road,Colony 1,Lane No. 1,2388,4,3,Furnished,1.33,2.04,2.43,10,426.965,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Viman Nagar,Tingre Nagar,Colony 7,Lane No. 3,2695,1,1,Unfurnished,0.55,2.87,5.42,14,186.78,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Kondhwa,Yewalewadi,Colony 3,Lane No. 3,501,3,3,Semi-Furnished,0.63,1.2,1.37,11,110.55000000000001,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Viman Nagar,Tingre Nagar,Colony 5,Lane No. 3,2099,1,1,Unfurnished,0.88,3.52,3.95,5,133.815,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Hinjewadi,Phase 3,Colony 7,Lane No. 2,2177,2,2,Unfurnished,0.59,3.95,5.15,8,349.25,"Phase 3, Hinjewadi, Pune, Maharashtra, India",18.595072,73.730659
Kondhwa,Salisbury Park,Colony 4,Lane No. 5,705,4,3,Semi-Furnished,3.69,0.76,4.94,11,109.945,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Hinjewadi,Phase 1,Colony 5,Lane No. 5,1796,4,3,Furnished,3.91,0.87,4.29,2,425.70000000000005,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Viman Nagar,Tingre Nagar,Colony 2,Lane No. 1,1623,3,3,Unfurnished,4.44,1.24,4.54,20,382.745,"Tingre Nagar, Viman Nagar, Pune, Maharashtra, India",18.564069,73.913894
Bibwewadi,Vishwakarma Nagar,Colony 3,Lane No. 2,878,5,3,Semi-Furnished,1.44,2.81,1.25,18,357.005,"Vishwakarma Nagar, Bibwewadi, Pune, Maharashtra, India",18.463746,73.868518
Hadapsar,Gadital,Colony 7,Lane No. 2,1936,4,3,Furnished,3.14,0.78,4.4,10,225.72,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Kondhwa,NIBM Road,Colony 1,Lane No. 5,727,1,1,Unfurnished,2.37,3.34,3.07,0,29.975,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Wakad,Datta Mandir Road,Colony 1,Lane No. 1,1217,1,1,Semi-Furnished,0.57,3.71,1.19,0,43.010000000000005,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Baner,Pashan Link Road,Colony 3,Lane No. 5,2289,5,3,Furnished,2.99,2.08,4.89,1,392.755,"Pashan Link Road, Baner, Pune, Maharashtra, India",18.550535,73.791299
Katraj,Vignaharta Colony,Colony 3,Lane No. 3,2614,2,2,Furnished,3.55,3.96,1.43,10,200.365,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Aundh,ITI Road,Colony 6,Lane No. 1,1917,1,1,Unfurnished,1.26,2.93,5.06,11,121.60499999999999,"ITI Road, Aundh, Pune, Maharashtra, India",18.5521623,73.8095846
Hinjewadi,Phase 1,Colony 3,Lane No. 4,1751,5,3,Furnished,4.35,2.89,5.0,1,708.29,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Wakad,Datta Mandir Road,Colony 5,Lane No. 2,1014,3,3,Semi-Furnished,3.19,0.77,5.22,3,221.045,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Wakad,Datta Mandir Road,Colony 4,Lane No. 3,1248,2,2,Unfurnished,4.96,2.75,5.21,12,205.865,"Datta Mandir Road, Wakad, Pune, Maharashtra, India",18.5993668,73.7637019
Aundh,Baner Pashan Link,Colony 2,Lane No. 2,1077,5,3,Semi-Furnished,3.6,3.54,2.49,10,179.795,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Hadapsar,Magarpatta City,Colony 6,Lane No. 4,2830,3,3,Semi-Furnished,3.16,2.13,1.86,17,245.135,"Magarpatta City, Hadapsar, Pune, Maharashtra, India",18.509502,73.929598
Kondhwa,Salisbury Park,Colony 6,Lane No. 4,1027,1,1,Semi-Furnished,2.85,3.17,3.4,11,66.825,"Salisbury Park, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Aundh,Baner Pashan Link,Colony 2,Lane No. 4,1084,2,2,Semi-Furnished,2.68,2.94,3.71,15,110.11,"Baner Pashan Link, Aundh, Pune, Maharashtra, India",18.5518199,73.7943072
Kondhwa,NIBM Road,Colony 2,Lane No. 1,2883,4,3,Unfurnished,1.27,0.57,2.92,14,590.425,"NIBM Road, Kondhwa, Pune, Maharashtra, India",18.4648441,73.9028846
Hadapsar,Gadital,Colony 3,Lane No. 4,1089,3,3,Unfurnished,1.26,3.51,4.37,18,169.73,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Katraj,Gokulnagar,Colony 3,Lane No. 5,516,5,3,Semi-Furnished,4.02,2.44,3.89,14,172.7,"Gokulnagar, Katraj, Pune, Maharashtra, India",18.453223,73.857472
Hinjewadi,Phase 1,Colony 5,Lane No. 2,2359,4,3,Unfurnished,3.9,1.75,2.0,11,561.6600000000001,"Phase 1, Hinjewadi, Pune, Maharashtra, India",18.586253,73.738569
Hadapsar,Gadital,Colony 1,Lane No. 3,2974,3,3,Furnished,2.85,2.95,4.34,4,485.21,"Gadital, Hadapsar, Pune, Maharashtra, India",18.500313,73.939271
Kothrud,Paud Road,Colony 6,Lane No. 4,1633,5,3,Semi-Furnished,3.66,3.13,4.35,15,570.46,"Paud Road, Kothrud, Pune, Maharashtra, India",18.5074254,73.7996581
Kothrud,Ideal Colony,Colony 2,Lane No. 3,2228,4,3,Semi-Furnished,0.64,3.93,4.57,12,452.65,"Ideal Colony, Kothrud, Pune, Maharashtra, India",18.5090654,73.81686178
Hinjewadi,Phase 2,Colony 3,Lane No. 5,543,4,3,Furnished,1.42,2.26,3.85,12,96.305,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Wakad,Kalewadi Phata,Colony 3,Lane No. 5,1620,4,3,Unfurnished,3.97,3.77,2.23,16,435.875,"Kalewadi Phata, Wakad, Pune, Maharashtra, India",18.6039604,73.777045
Baner,Balewadi Phata,Colony 6,Lane No. 5,1423,4,3,Furnished,2.0,3.8,1.53,16,180.73,"Balewadi Phata, Baner, Pune, Maharashtra, India",18.5643011,73.7837139
Viman Nagar,Lunkad Colony,Colony 3,Lane No. 4,2250,3,3,Unfurnished,2.45,2.22,3.69,2,541.75,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Hinjewadi,Phase 2,Colony 2,Lane No. 5,508,2,2,Furnished,2.93,0.62,4.41,5,62.425,"Phase 2, Hinjewadi, Pune, Maharashtra, India",18.591748,73.738707
Baner,Veerbhadra Nagar,Colony 1,Lane No. 1,852,1,1,Semi-Furnished,4.92,1.57,5.68,11,51.974999999999994,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Baner,Veerbhadra Nagar,Colony 2,Lane No. 3,2039,1,1,Unfurnished,2.56,1.28,2.57,3,158.07,"Veerbhadra Nagar, Baner, Pune, Maharashtra, India",18.519479,73.870703
Katraj,Vignaharta Colony,Colony 3,Lane No. 5,2472,4,3,Semi-Furnished,3.36,3.01,3.19,2,685.85,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
Kondhwa,Yewalewadi,Colony 5,Lane No. 2,1174,5,3,Furnished,1.2,3.86,4.45,2,266.915,"Yewalewadi, Kondhwa, Pune, Maharashtra, India",18.476607,73.891986
Viman Nagar,Lunkad Colony,Colony 7,Lane No. 2,2262,2,2,Unfurnished,2.05,0.63,1.05,2,193.105,"Lunkad Colony, Viman Nagar, Pune, Maharashtra, India",18.541879,73.906953
Katraj,Vignaharta Colony,Colony 3,Lane No. 4,1805,5,3,Furnished,2.74,2.2,1.59,0,489.995,"Vignaharta Colony, Katraj, Pune, Maharashtra, India",19.169322,73.044622
